province_id,province,amphoe_id,area_id,amphoe,romanized_amphoe,amphoe_short,romanized_amphoe_short
10,กรุงเทพมหานคร,1001,10010000,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon
10,กรุงเทพมหานคร,1002,10020000,เขตดุสิต,Khet Dusit,ดุสิต,Dusit
10,กรุงเทพมหานคร,1003,10030000,เขตหนองจอก,Khet Nong Khaem,หนองจอก,Nong Khaem
10,กรุงเทพมหานคร,1004,10040000,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak
10,กรุงเทพมหานคร,1005,10050000,เขตบางเขน,Khet Bang Khen,บางเขน,Bang Khen
10,กรุงเทพมหานคร,1006,10060000,เขตบางกะปิ,Khet Bang Kapi,บางกะปิ,Bang Kapi
10,กรุงเทพมหานคร,1007,10070000,เขตปทุมวัน,Khet Pathum Wan,ปทุมวัน,Pathum Wan
10,กรุงเทพมหานคร,1008,10080000,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
10,กรุงเทพมหานคร,1009,10090000,เขตพระโขนง,Khet Phra Khanong,พระโขนง,Phra Khanong
10,กรุงเทพมหานคร,1010,10100000,เขตมีนบุรี,Khet Min Buri,มีนบุรี,Min Buri
10,กรุงเทพมหานคร,1011,10110000,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang
10,กรุงเทพมหานคร,1012,10120000,เขตยานนาวา,Khet Yan Nawa,ยานนาวา,Yan Nawa
10,กรุงเทพมหานคร,1013,10130000,เขตสัมพันธวงศ์,Khet Samphanthawong,สัมพันธวงศ์,Samphanthawong
10,กรุงเทพมหานคร,1014,10140000,เขตพญาไท,Khet Phaya Thai,พญาไท,Phaya Thai
10,กรุงเทพมหานคร,1015,10150000,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri
10,กรุงเทพมหานคร,1016,10160000,เขตบางกอกใหญ่,Khet Bangkok Yai,บางกอกใหญ่,Bangkok Yai
10,กรุงเทพมหานคร,1017,10170000,เขตห้วยขวาง,Khet Huai Khwang,ห้วยขวาง,Huai Khwang
10,กรุงเทพมหานคร,1018,10180000,เขตคลองสาน,Khet Khlong San,คลองสาน,Khlong San
10,กรุงเทพมหานคร,1019,10190000,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan
10,กรุงเทพมหานคร,1020,10200000,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi
10,กรุงเทพมหานคร,1021,10210000,เขตบางขุนเทียน,Khet Bang Khun Thian,บางขุนเทียน,Bang Khun Thian
10,กรุงเทพมหานคร,1022,10220000,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen
10,กรุงเทพมหานคร,1023,10230000,เขตหนองแขม,Khet Nong Chok,หนองแขม,Nong Chok
10,กรุงเทพมหานคร,1024,10240000,เขตราษฎร์บูรณะ,Khet Rat Burana,ราษฎร์บูรณะ,Rat Burana
10,กรุงเทพมหานคร,1025,10250000,เขตบางพลัด,Khet Bang Phlat,บางพลัด,Bang Phlat
10,กรุงเทพมหานคร,1026,10260000,เขตดินแดง,Khet Din Daeng,ดินแดง,Din Daeng
10,กรุงเทพมหานคร,1027,10270000,เขตบึงกุ่ม,Khet Bueng Kum,บึงกุ่ม,Bueng Kum
10,กรุงเทพมหานคร,1028,10280000,เขตสาทร,Khet Sathon,สาทร,Sathon
10,กรุงเทพมหานคร,1029,10290000,เขตบางซื่อ,Khet Bang Sue,บางซื่อ,Bang Sue
10,กรุงเทพมหานคร,1030,10300000,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak
10,กรุงเทพมหานคร,1031,10310000,เขตบางคอแหลม,Khet Bang Kho Laem,บางคอแหลม,Bang Kho Laem
10,กรุงเทพมหานคร,1032,10320000,เขตประเวศ,Khet Prawet,ประเวศ,Prawet
10,กรุงเทพมหานคร,1033,10330000,เขตคลองเตย,Khet Khlong Toei,คลองเตย,Khlong Toei
10,กรุงเทพมหานคร,1034,10340000,เขตสวนหลวง,Khet Suan Luang,สวนหลวง,Suan Luang
10,กรุงเทพมหานคร,1035,10350000,เขตจอมทอง,Khet Chom Thong,จอมทอง,Chom Thong
10,กรุงเทพมหานคร,1036,10360000,เขตดอนเมือง,Khet Don Mueang,ดอนเมือง,Don Mueang
10,กรุงเทพมหานคร,1037,10370000,เขตราชเทวี,Khet Ratchathewi,ราชเทวี,Ratchathewi
10,กรุงเทพมหานคร,1038,10380000,เขตลาดพร้าว,Khet Lat Phrao,ลาดพร้าว,Lat Phrao
10,กรุงเทพมหานคร,1039,10390000,เขตวัฒนา,Khet Vadhana,วัฒนา,Vadhana
10,กรุงเทพมหานคร,1040,10400000,เขตบางแค,Khet Bang Khae,บางแค,Bang Khae
10,กรุงเทพมหานคร,1041,10410000,เขตหลักสี่,Khet Lak Si,หลักสี่,Lak Si
10,กรุงเทพมหานคร,1042,10420000,เขตสายไหม,Khet Sai Mai,สายไหม,Sai Mai
10,กรุงเทพมหานคร,1043,10430000,เขตคันนายาว,Khet Khan Na Yao,คันนายาว,Khan Na Yao
10,กรุงเทพมหานคร,1044,10440000,เขตสะพานสูง,Khet Saphan Sung,สะพานสูง,Saphan Sung
10,กรุงเทพมหานคร,1045,10450000,เขตวังทองหลาง,Khet Wang Thonglang,วังทองหลาง,Wang Thonglang
10,กรุงเทพมหานคร,1046,10460000,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa
10,กรุงเทพมหานคร,1047,10470000,เขตบางนา,Khet Bang Na,บางนา,Bang Na
10,กรุงเทพมหานคร,1048,10480000,เขตทวีวัฒนา,Khet Thawi Watthana,ทวีวัฒนา,Thawi Watthana
10,กรุงเทพมหานคร,1049,10490000,เขตทุ่งครุ,Khet Thung Khru,ทุ่งครุ,Thung Khru
10,กรุงเทพมหานคร,1050,10500000,เขตบางบอน,khet Bang Bon,บางบอน,Bang Bon
11,สมุทรปราการ,1101,11010000,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan
11,สมุทรปราการ,1102,11020000,อำเภอบางบ่อ,Amphoe Bang Bo,บางบ่อ,Bang Bo
11,สมุทรปราการ,1103,11030000,อำเภอบางพลี,Amphoe Bang Phli,บางพลี,Bang Phli
11,สมุทรปราการ,1104,11040000,อำเภอพระประแดง,Amphoe Phra Pradaeng,พระประแดง,Phra Pradaeng
11,สมุทรปราการ,1105,11050000,อำเภอพระสมุทรเจดีย์,Amphoe Phra Samut Chedi,พระสมุทรเจดีย์,Phra Samut Chedi
11,สมุทรปราการ,1106,11060000,อำเภอบางเสาธง,Amphoe Bang Sao Thong,บางเสาธง,Bang Sao Thong
12,นนทบุรี,1201,12010000,อำเภอเมืองนนทบุรี,Amphoe Mueang Nonthaburi,เมืองนนทบุรี,Mueang Nonthaburi
12,นนทบุรี,1202,12020000,อำเภอบางกรวย,Amphoe Bang Kruai,บางกรวย,Bang Kruai
12,นนทบุรี,1203,12030000,อำเภอบางใหญ่,Amphoe Bang Yai,บางใหญ่,Bang Yai
12,นนทบุรี,1204,12040000,อำเภอบางบัวทอง,Amphoe Bang Bua Thong,บางบัวทอง,Bang Bua Thong
12,นนทบุรี,1205,12050000,อำเภอไทรน้อย,Amphoe Sai Noi,ไทรน้อย,Sai Noi
12,นนทบุรี,1206,12060000,อำเภอปากเกร็ด,Amphoe Pak Kret,ปากเกร็ด,Pak Kret
13,ปทุมธานี,1301,13010000,อำเภอเมืองปทุมธานี,Amphoe Mueang Pathum Thani,เมืองปทุมธานี,Mueang Pathum Thani
13,ปทุมธานี,1302,13020000,อำเภอคลองหลวง,Amphoe Khlong Luang,คลองหลวง,Khlong Luang
13,ปทุมธานี,1303,13030000,อำเภอธัญบุรี,Amphoe Thanyaburi,ธัญบุรี,Thanyaburi
13,ปทุมธานี,1304,13040000,อำเภอหนองเสือ,Amphoe Nong Suea,หนองเสือ,Nong Suea
13,ปทุมธานี,1305,13050000,อำเภอลาดหลุมแก้ว,Amphoe Lat Lum Kaeo,ลาดหลุมแก้ว,Lat Lum Kaeo
13,ปทุมธานี,1306,13060000,อำเภอลำลูกกา,Amphoe Lam Luk Ka,ลำลูกกา,Lam Luk Ka
13,ปทุมธานี,1307,13070000,อำเภอสามโคก,Amphoe Sam Khok,สามโคก,Sam Khok
14,พระนครศรีอยุธยา,1401,14010000,อำเภอพระนครศรีอยุธยา,Amphoe Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
14,พระนครศรีอยุธยา,1402,14020000,อำเภอท่าเรือ,Amphoe Tha Ruea,ท่าเรือ,Tha Ruea
